,ORG,DST,SECTOR_ID,SDD,TOTAL_CORE,ORG_CTRY,DST_CTRY,ORG_REGION,DST_REGION,IN_SCOPE
50920,235,217,175,2011-01-10,65305.0,172,197,201,180,1
50924,203,235,231,2011-01-02,65318.0,124,172,149,201,1
50927,235,219,163,2014-01-01,65324.0,172,197,201,180,1
50929,235,120,224,2015-12-18,65326.0,172,191,201,174,1
50930,235,120,224,2016-03-08,65327.0,172,191,201,174,1
50933,235,219,163,2014-02-25,65338.0,172,197,201,180,1
50934,203,235,231,2016-03-15,65339.0,124,172,149,201,1
50935,235,120,224,2012-11-16,65340.0,172,191,201,174,1
50936,235,120,224,2014-10-25,65342.0,172,191,201,174,1
50937,235,120,224,2015-04-21,65346.0,172,191,201,174,1
50938,129,235,200,2013-05-19,65350.0,124,172,149,201,1
50940,120,235,169,2015-08-04,65350.0,191,172,174,201,1
50942,179,235,221,2014-07-11,65352.0,132,172,132,201,1
50943,179,235,221,2016-12-10,65352.0,132,172,132,201,1
50947,216,235,190,2011-10-09,65356.0,153,172,149,201,1
50954,161,189,103,2012-08-09,65362.0,126,172,174,201,1
50955,129,235,200,2014-06-24,65363.0,124,172,149,201,1
50957,203,189,130,2016-02-01,65363.0,124,172,149,201,1
50959,120,235,169,2016-07-27,65368.0,191,172,174,201,1
50961,161,189,103,2013-11-30,65373.0,126,172,174,201,1
50963,216,235,190,2011-03-26,65380.0,153,172,149,201,1
50966,235,120,224,2014-03-20,65386.0,172,191,201,174,1
50968,219,235,113,2016-01-21,65394.0,197,172,180,201,1
50969,161,235,210,2013-06-28,65395.0,126,172,174,201,1
50972,235,216,112,2010-11-21,65399.0,172,153,201,149,1
50974,129,235,200,2010-02-27,65405.0,124,172,149,201,1
50976,235,120,224,2016-01-29,65408.0,172,191,201,174,1
50978,203,235,231,2015-07-28,65411.0,124,172,149,201,1
50979,235,219,163,2012-04-26,65412.0,172,197,201,180,1
50981,235,219,163,2012-09-25,65415.0,172,197,201,180,1
50982,219,235,113,2016-04-22,65415.0,197,172,180,201,1
50983,203,235,231,2016-01-26,65415.0,124,172,149,201,1
50984,129,235,200,2013-08-18,65417.0,124,172,149,201,1
50987,235,120,224,2016-02-26,65424.0,172,191,201,174,1
50993,179,235,221,2013-05-05,65445.0,132,172,132,201,1
50994,120,235,169,2016-07-02,65451.0,191,172,174,201,1
50996,219,235,113,2014-04-17,65452.0,197,172,180,201,1
50998,216,235,190,2011-07-29,65454.0,153,172,149,201,1
51000,235,120,224,2016-05-18,65459.0,172,191,201,174,1
51001,233,235,108,2015-08-01,65460.0,206,172,201,201,1
